epoch,accuracy,loss,val_accuracy,val_loss
0,0.33125502,3.19603002241211,0.36152130365371704,1.7659988628187098
1,0.44425094,1.5324897419559682,0.3898021876811981,1.66658207379732
2,0.4808945,1.4343940638263437,0.48969072103500366,1.3846275197260558
3,0.49865896,1.375197426569973,0.426720529794693,1.6386000452416294
4,0.51182556,1.3398538905129487,0.4420451521873474,1.6163337825234139
5,0.52673376,1.3043561101794396,0.5179715752601624,1.3512821958469594
6,0.5348497,1.2806148576472363,0.454165518283844,1.5497894242601031
7,0.54028356,1.257963948299811,0.5303705930709839,1.3010899495467332
8,0.5502456,1.2398979948283595,0.515324592590332,1.3132032479506477
9,0.55595803,1.222445179154712,0.5456951856613159,1.2599605557047646
10,0.56090426,1.2017817857509712,0.5284201502799988,1.2707933306062942
11,0.5654673,1.1838431027811802,0.5349679589271545,1.2358945661947633
12,0.57267755,1.1663177546681172,0.569796621799469,1.1979374960625395
13,0.57678777,1.1615597529572261,0.5560044646263123,1.2404224277040892
14,0.5785642,1.1474445209329107,0.5809417963027954,1.125924725325269
15,0.58162946,1.1305671799763803,0.5640847086906433,1.2064987568511176
16,0.5863318,1.125872601037356,0.5894399285316467,1.1313388075925541
17,0.59542304,1.1099824826750346,0.5707718133926392,1.170688239835238
18,0.59476125,1.1033279119836255,0.5668709874153137,1.2008279783541727
19,0.5987669,1.0903611724049225,0.5684034824371338,1.1416600790320084
20,0.5933331,1.0861628723225918,0.5951518416404724,1.1005090532212511
21,0.6045839,1.077244747211959,0.6118695735931396,1.0747297348568252
22,0.6004737,1.0794066734675052,0.5833101272583008,1.1083326704424383
23,0.60900766,1.065494219891151,0.5884647369384766,1.1137969523095328
24,0.60803235,1.0591506390384076,0.593062162399292,1.1070668046339602
25,0.6093559,1.0572822915419395,0.5876288414001465,1.1240142275278002
26,0.6073705,1.0510241984075346,0.5980774760246277,1.0953620514453837
27,0.6111324,1.0466422723160047,0.5728614926338196,1.1451652333343816
28,0.6125605,1.039907472483429,0.5990526676177979,1.08939331950966
29,0.61705387,1.0318330500358333,0.5980774760246277,1.0925978676593213
30,0.614755,1.0295861318617672,0.6089439988136292,1.07410135024037
31,0.6188303,1.0243623858190114,0.6014209985733032,1.071288889648191
32,0.6226271,1.0233812512032328,0.6036500334739685,1.0727372247882458
33,0.62712044,1.0122720606482603,0.6115909814834595,1.0698572524778356
34,0.62489116,1.0147162480469578,0.5629701614379883,1.1511499277228066
35,0.6241945,1.0089486364768696,0.5986347198486328,1.0897995865952839
36,0.6274339,1.007555467423287,0.5880467891693115,1.130992149635755
37,0.6290362,1.0011632086370403,0.5893006324768066,1.1228028005728585
38,0.6277474,1.0031991598478134,0.5945945978164673,1.1055320315986796
39,0.629071,0.9973118573488448,0.6161883473396301,1.0398934244212747
40,0.6315441,0.9936035056652173,0.5736973881721497,1.1486700368179987
41,0.62663275,0.9955506806272445,0.6028141379356384,1.0675305303473697
42,0.6341565,0.9845976857121053,0.5954304933547974,1.1336774507516205
43,0.63453966,0.9863055355476027,0.6178601384162903,1.045010302285359
44,0.63440037,0.9883002300214948,0.592086911201477,1.0943798048644386
45,0.63892853,0.9788531144442049,0.6234326958656311,1.0414747262472692
46,0.640078,0.9751143270311379,0.6122875213623047,1.0759683632192987
47,0.63729143,0.9766593382020469,0.6207857131958008,1.0563213026732845
48,0.640496,0.9752016536427697,0.6231541037559509,1.0579686337574905
49,0.6417848,0.9676748426893403,0.6186960339546204,1.0629585700036424
50,0.6442231,0.9649883258877978,0.61451655626297,1.0629740594057162
51,0.641123,0.9661821501519705,0.6230147480964661,1.055924823935831
52,0.66146505,0.9157728240064678,0.6405683755874634,0.9826038167582278
53,0.6687102,0.8975072278490286,0.6430760622024536,0.9706408297925914
54,0.6691281,0.8943847387560923,0.6416829228401184,0.9746465624192525
55,0.6689888,0.89040544146077,0.6398718357086182,0.984174402369932
56,0.6726462,0.8829362807617179,0.6412649750709534,0.9834399976149746
57,0.66989446,0.8886377267455676,0.6444692015647888,0.9697687763395865
58,0.67160124,0.8811728017922873,0.6439119577407837,0.969703447157774
59,0.67299455,0.8738544142882799,0.6359710097312927,0.9851259102426754
60,0.67100906,0.882019565788829,0.6416829228401184,0.972852003494655
61,0.67504966,0.8711205835132133,0.6460016965866089,0.9654646994310955
62,0.67470133,0.8747353472988361,0.6401504874229431,0.9786903995031366
63,0.6717754,0.8742038079150862,0.6466982364654541,0.969799381240426
64,0.6784632,0.867539572264816,0.6437726616859436,0.9720288643633698
65,0.6782194,0.8665594103368806,0.6447478532791138,0.9702683439756974
66,0.6780452,0.8649721206295449,0.6478127837181091,0.9731328360182092
67,0.6776272,0.8698412595553775,0.6447478532791138,0.9706758929680702
68,0.67731375,0.865747297491963,0.6440512537956238,0.9782996561973
69,0.67947334,0.8629315399800545,0.6415436267852783,0.9719527352982227
